,project_muse_382681,humes_theory_of_the_self_revisited,pq30-0061,fshow,40232176,ContentServer.asp-3,project_muse_389389,project_muse_391081,ROCHAT-4v1,project_muse_389409,26303717,project_muse_382731,27744766,project_muse_439818,SCHIHA-3.2,3327575,2239-Article Text-2582-1-10-20140925,strawson-evident-connexion,project_muse_403836,project_muse_227867,1399612,project_muse_389490,project_muse_382726,2106947,20532746,07.0_pp_177_208_Hume_and_the_Problem_of_Personal_Identity,ContentServer.asp-2,penelhum-themes-book,thiel-early-modern-self-13-14,project_muse_388510,acprof-9780199229505-chapter-6,1173639,rocknack-imagined-causes-ch-10,project_muse_388506,project_muse_388443,2182635,project_muse_596651,2660181,ContentServer.asp-5,project_muse_383297,MURRAY-1993-Ethos,Schwerin2012_Article_HumeOnTheSelf,humes_theory_of_the_self_and_its_identity,acpq_1995_0069_0003_0485_0501&pdfname=acpq_1995_0069_0003_0091_0107,533Cottrell,project_muse_383238,ContentServer.asp-4,23598030,project_muse_228761,19333-Texto del artículo-19408-1-10-20110602,20009239,project_muse_388507,ContentServer.asp-8,Prolegomena_11_2_2012_Article_Lybaert,20708617,project_muse_38,10088-Texto del artículo-10169-1-10-20110601,1130384,project_muse_390704,ContentServer.asp-7,project_muse_383344,1173637,project_muse_553401,27902511,project_muse_385510,1173636,43155096,project_muse_365207,27745095,project_muse_388509,ContentServer.asp-6,Kail-2008-European_Journal_of_Philosophy,41441496,20126883,9780470776377.ch8,project_muse_399569,Levin2007_Article_BundlingHumeWithKripkenstein,Gilead2008_Article_AHumeanArgumentForPersonalIden,2184977,2653404-2,ipq_2004_0044_0002_0276_0278&pdfname=ipq_2004_0044_0002_0134_0136,pq21-0324,Projection and Realism in Hume s Philosophy,project_muse_383319,SIRTCO.1,Flage_et_al-1984-The_Southern_Journal_of_Philosophy,project_muse_439820,WINKLER-2010-Philosophical_Books,fzt013,project_muse_389493,24439665,31448-231447-1-PB,1173780,project_muse_382933,Projection and Realism in Hume's Philosophy coventry review,project_muse_511194,1398236,acpq_1990_0064_0002_0233_,out,pq9-0097,20131803
1.2.3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,1.0070000000000003,0.0,0.0,0.0,0.0,1.0070000000000003,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,3.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1.0070000000000003,0,0,0.0,0,0,0.0,0.0,0,0.0,1.0070000000000003,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,8.027,0,0.0
1.2.4,0.0,0,0,0,0.0,0.9990000000000001,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,12.5,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
1.2.5,0.0,0,0,0,0.0,2.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.9900000000000007,0.0,0.0,0.0,0.0,0.0,0.9900000000000007,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,4.0,0,0,0.0,0,0,0.0,0.0,0,3.0,2.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.2.6,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,2.998000000000001,0,0,0.0,0,1.002,0.0,0,1.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,2.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,1.002,0,0.0,1.0,2.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.9990000000000001,0.0,0.0,0,0,1.0,5.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
1.3.1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.5,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1.0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.1679999999999997,0,0.0
1.3.2,0.0,0,0,0,0.0,0.0,0.0,0.0,13.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.014999999999997,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,3.001999999999999,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1.0029999999999994,0,0,0.0,0,0,0.0,0.0,0,1.0,1.0029999999999994,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,2.005999999999999,0,0.0
1.3.3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.988000000000001,0,0.0
1.3.4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.778,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,1.221,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.6,0.0,0,0,0,0.0,0.0,0.0,0.0,4.000000000000001,0,0,0,0,0,0,0.0,0.0,4.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,4.0,0.0,0.0,0,0.9920000000000004,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.001,0,0.0
1.3.7,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,1.5,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
1.3.8,0.0,0,0,0,0.9990000000000001,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.9990000000000001,0.0,2.0080000000000005,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.9,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0,0,0.0,0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
1.3.10,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.25199999999999995,0,0.0
1.3.11,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.27299999999999996,0,0.0
1.3.12,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5460000000000002,0,0.0
1.3.13,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2.0010000000000003,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.9890000000000003,0,0,0.0,0,0.0,0.0,0,0.2,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.48300000000000015,0,0.0
1.3.14,0.0,0,0,0,0.0,0.0,0.0,1.5,2.0080000000000005,0,0,0,0,0,0,0.0,0.5,37.034000000000006,0.0,3.9979999999999998,0,0,0.0,0,4.008,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,8.056000000000004,0.0,0,0.0,0.0,0,0,0,0.0,0,2.0,9.0,2.0,3.0,0,0.0,0,0,1.0080000000000005,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,5.998999999999998,0,0,6.032000000000002,0,0,1.9939999999999996,0.0,0,7.0,0.0,0.0,6.0,0,0.0,0,0.5,0.0,0.0,0,0,0,0,0.0,5.0,9.016000000000002,0,0,3.0,1.0,0.0,0.624,1.0,0.0,0,0.0,4.875999999999997,0,0.0
1.3.15,0.0,0,0,0,1.001,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,5.999999999999999,0.0,0.0,0,0,0.0,0,0.249,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,1.001,0,0,0.0,0,0.0,0.0,0,0.654,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,1.001,0,0.0,0,0.9969999999999999,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.27299999999999996,0,0.0
1.3.16,0.0,0,0,0,0.0,0.0,0.0,0.0,0.999,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.15000000000000002,0,0.0,0,0.0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.18899999999999997,0,0.0
1.4.1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,0,0.0
1.4.2,0.0,0,0,0,2.974999999999997,0.0,0.0,1.9989999999999999,45.932000000000066,0,0,0,0,0,0,0.0,0.0,42.32699999999995,1.0,2.9970000000000008,0,0,0.0,0,7.953000000000002,8.901000000000007,0,6.825000000000011,2.9249999999999976,0.9990000000000001,3.0,1.0,56.200999999999915,0.9750000000000008,0.666,0,3.0,0.0,0,0,0,0.0,0,2.0010000000000003,22.001000000000012,3.9990000000000006,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,1.9980000000000002,0,0.0,12.0,15.923999999999996,0,0,8.900000000000004,0,0,4.974999999999995,0.0,0,1.0,2.0,0.0,2.0,0,1.0,0,0.998,2.9249999999999976,0.9750000000000008,0,0,0,0,0.0,0.0,0.0,0,0,0.9750000000000008,6.0,7.952000000000007,0.0,0.0,0.0,0,2.9249999999999976,14.95699999999999,0,0.0
1.4.3,0.0,0,0,0,2.001,0.0,0.0,15.0,6.003,0,0,0,0,0,0,0.0,0.0,4.501,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,1.0,2.0,0.0,0.0,0,1.001,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,2.0,3.0,0,0,0.0,0,0,2.001,0.0,0,6.001,1.0,0.0,2.0,0,0.0,0,0.0,3.003000000000001,1.001,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,3.003000000000001,0.0,0.0,0.0,0,3.003000000000001,2.001,0,0.0
1.4.4,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0049999999999997,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0,0,0.0,0,3.984000000000001,1.9920000000000004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,3.0,0.9920000000000004,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.984000000000001,0,0.0
