,project_muse_382681,humes_theory_of_the_self_revisited,pq30-0061,fshow,40232176,ContentServer.asp-3,project_muse_389389,project_muse_391081,ROCHAT-4v1,project_muse_389409,26303717,project_muse_382731,27744766,project_muse_439818,SCHIHA-3.2,3327575,2239-Article Text-2582-1-10-20140925,strawson-evident-connexion,project_muse_403836,project_muse_227867,1399612,project_muse_389490,project_muse_382726,2106947,20532746,07.0_pp_177_208_Hume_and_the_Problem_of_Personal_Identity,ContentServer.asp-2,penelhum-themes-book,thiel-early-modern-self-13-14,project_muse_388510,acprof-9780199229505-chapter-6,1173639,rocknack-imagined-causes-ch-10,project_muse_388506,project_muse_388443,2182635,project_muse_596651,2660181,ContentServer.asp-5,project_muse_383297,MURRAY-1993-Ethos,Schwerin2012_Article_HumeOnTheSelf,humes_theory_of_the_self_and_its_identity,acpq_1995_0069_0003_0485_0501&pdfname=acpq_1995_0069_0003_0091_0107,533Cottrell,project_muse_383238,ContentServer.asp-4,23598030,project_muse_228761,19333-Texto del artículo-19408-1-10-20110602,20009239,project_muse_388507,ContentServer.asp-8,Prolegomena_11_2_2012_Article_Lybaert,20708617,project_muse_38,10088-Texto del artículo-10169-1-10-20110601,1130384,project_muse_390704,ContentServer.asp-7,project_muse_383344,1173637,project_muse_553401,27902511,project_muse_385510,1173636,43155096,project_muse_365207,27745095,project_muse_388509,ContentServer.asp-6,Kail-2008-European_Journal_of_Philosophy,41441496,20126883,9780470776377.ch8,project_muse_399569,Levin2007_Article_BundlingHumeWithKripkenstein,Gilead2008_Article_AHumeanArgumentForPersonalIden,2184977,2653404-2,ipq_2004_0044_0002_0276_0278&pdfname=ipq_2004_0044_0002_0134_0136,pq21-0324,Projection and Realism in Hume s Philosophy,project_muse_383319,SIRTCO.1,Flage_et_al-1984-The_Southern_Journal_of_Philosophy,project_muse_439820,WINKLER-2010-Philosophical_Books,fzt013,project_muse_389493,24439665,31448-231447-1-PB,1173780,project_muse_382933,Projection and Realism in Hume's Philosophy coventry review,project_muse_511194,1398236,acpq_1990_0064_0002_0233_,out,pq9-0097,20131803
1.3.13.4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.125,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.125,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.29200000000000004,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.167,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.9,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.167,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.10,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.125,0,0.125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.11,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.125,0,0.125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.12,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.375,0,0.375,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.1,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.13,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.25,0,0.25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.1,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.14,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.15,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.16,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.17,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.18,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.19,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.20,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.5n24,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.125,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.11n25,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.125,0,0.125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.13.17n26,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.043,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.14.1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,0.19099999999999998,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.071,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.092,0,0.0
1.3.14.2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,0.12,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.14.3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,0.12,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.021,0,0.0
1.3.14.4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,0.12,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1680000000000001,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.071,0,0.0
1.3.14.5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,0.12,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.07100000000000001,0,0.0
1.3.14.6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,0.12,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,2.0,0.0,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.07100000000000001,0,0.0
1.3.14.7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,0.6200000000000001,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.07100000000000001,0,0.0
1.3.14.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,2.12,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1.0,0,0,0.096,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.07100000000000001,0,0.0
1.3.14.9,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,0.12,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.07100000000000001,0,0.0
1.3.14.10,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,1.191,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.071,0.0,0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.14200000000000002,0,0.0
1.3.14.11,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,0.19099999999999998,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.071,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.14200000000000002,0,0.0
1.3.14.12,0.0,0,0,0,0.0,0.0,0.0,0.75,0.024,0,0,0,0,0,0,0.0,0.25,0.19099999999999998,0.0,0.25,0,0,0.0,0,0.024,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,1.0,0.0,0.5,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.071,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.25,0.0,0.0,0,0,0,0,0.0,0.0,0.048,0,0,0.5,0.0,0.0,0.312,0.0,0.0,0,0.0,0.14200000000000002,0,0.0
1.3.14.13,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,0.19099999999999998,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1.0,0.0,1.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.071,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,2.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.14200000000000002,0,0.0
1.3.14.14,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,3.1910000000000003,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.071,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.14200000000000002,0,0.0
1.3.14.15,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,0.19099999999999998,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.071,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.14200000000000002,0,0.0
1.3.14.16,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,0.24099999999999996,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1.0,0,0,0.096,0,0,0.071,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.14200000000000002,0,0.0
1.3.14.17,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,0.24099999999999996,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.071,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.14200000000000002,0,0.0
1.3.14.18,0.0,0,0,0,0.0,0.0,0.0,0.0,0.024,0,0,0,0,0,0,0.0,0.0,0.24099999999999996,0.0,0.0,0,0,0.0,0,0.024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.024,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.096,0,0,0.071,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.14200000000000002,0,0.0
